Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI %Chg",Vol/OI,IV,Delta,Time
UTHR,544.69,2026-07-17,39,Call,620.00,-13.83%,2.6,5.7,1,3997,"+3,500.90%",0,33.96%,0.141067,2026-06-08
COIN,162.11,2026-06-12,4,Put,146.00,-9.94%,0.72,0.83,59,1007,"+3,496.43%",0.06,84.25%,-0.108406,2026-06-08
MARA,13.78,2026-08-21,74,Put,8.00,-41.94%,0.25,0.31,5,5552,"+3,481.94%",0,103.62%,-0.078767,2026-06-08
GRMN,235.23,2026-07-17,39,Put,210.00,-10.73%,1.05,2.05,1,1030,"+3,451.72%",0,31.85%,-0.122398,2026-06-08
IONQ,62.8,2026-06-12,4,Call,83.00,-32.17%,0.08,0.14,39,1018,"+3,293.33%",0.04,138.61%,0.032401,2026-06-08
COIN,162.11,2026-06-12,4,Call,160.00,+1.30%,6.5,6.8,3064,3556,"+3,286.67%",0.86,81.74%,0.579481,2026-06-08
SATL,6.99,2026-06-18,10,Put,6.00,-14.16%,0.25,0.3,923,6814,"+3,256.65%",0.14,153.75%,-0.232434,2026-06-08
SOFI,16.5,2026-07-10,32,Call,17.00,-3.03%,0.92,0.97,948,8548,"+3,252.16%",0.11,58.49%,0.473291,2026-06-08
INTC,110.27,2026-07-02,24,Call,120.00,-8.82%,6,6.25,1342,21361,"+3,232.45%",0.06,86.68%,0.397334,2026-06-08
JPM,311.11,2026-07-02,24,Put,310.00,-0.36%,7.45,7.9,241,1196,"+3,222.22%",0.2,26.37%,-0.459795,2026-06-08
PL,32.74,2026-06-26,18,Put,25.00,-23.64%,0.45,0.75,19,1026,"+3,209.68%",0.02,119.37%,-0.123795,2026-06-08
COUR,5.29,2026-11-20,165,Put,5.00,-5.48%,0.7,0.9,18,5157,"+3,184.71%",0,71.46%,-0.350943,2026-06-08
TSLA,408.95,2026-06-12,4,Call,407.50,+0.35%,10.25,10.45,4836,5321,"+3,184.57%",0.91,55.88%,0.538551,2026-06-08
MRNA,47.6,2026-06-12,4,Call,51.00,-7.14%,0.47,0.55,611,6753,"+3,162.32%",0.09,82.08%,0.22498,2026-06-08
TSM,426.8,2026-08-21,74,Call,480.00,-12.46%,20.5,21.8,122,17790,"+3,071.12%",0.01,51.38%,0.356748,2026-06-08
GPC,97.07,2026-06-18,10,Call,100.00,-3.02%,0.5,1.45,8,3493,"+3,046.85%",0,32.79%,0.29993,2026-06-08
PBR,17.75,2026-06-26,18,Call,17.50,+1.41%,0.67,0.73,3,2073,"+3,040.91%",0,35.87%,0.589174,2026-06-08
VALE,14.99,2026-07-17,39,Put,13.00,-13.28%,0.12,0.13,502,1615,"+3,005.77%",0.31,38.66%,-0.125308,2026-06-08
ASST,15.21,2026-07-17,39,Put,10.00,-34.25%,0.22,0.38,2,1179,"+3,002.63%",0,115.18%,-0.094805,2026-06-08
IREN,59.19,2026-06-12,4,Call,56.00,+5.39%,4.65,4.95,1117,7327,"+2,978.57%",0.15,121.40%,0.692398,2026-06-08
TSLA,408.95,2026-06-15,7,Call,442.50,-8.20%,2.34,2.42,274,1226,"+2,965.00%",0.22,53.64%,0.155039,2026-06-08
CIFR,24.29,2026-06-12,4,Put,23.50,-3.25%,0.65,0.93,334,10761,"+2,872.65%",0.03,114.86%,-0.367695,2026-06-08
TSM,426.8,2027-06-17,374,Call,650.00,-52.30%,37.45,40.3,579,1035,"+2,857.14%",0.56,54.14%,0.329531,2026-06-08
KDK,6.44,2026-07-17,39,Call,7.00,-8.70%,0.2,0.5,201,12254,"+2,803.79%",0.02,66.21%,0.397899,2026-06-08
CIFR,24.29,2026-06-12,4,Call,24.50,-0.86%,1.1,1.17,771,3212,"+2,793.69%",0.24,121.09%,0.49944,2026-06-08
BTU,28.19,2026-06-18,10,Call,29.50,-4.65%,0.7,0.82,13,1468,"+2,778.43%",0.01,68.58%,0.367846,2026-06-08
WBD,26.47,2026-07-02,24,Call,28.00,-5.78%,0.29,0.43,701,21059,"+2,707.87%",0.03,32.75%,0.274615,2026-06-08
RIOT,25.69,2026-06-12,4,Call,26.00,-1.21%,0.86,0.92,1420,3207,"+2,688.70%",0.44,95.76%,0.473856,2026-06-08
