Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
ZS,129.315,Put,310,2026-06-18T16:30:00-05:00,10,"179.25 x 432","182.25 x 220",181.1,300,mid,5433000,300,312,217.47%,-0.9906241008,SLFT,N/A,"15:47:48 ET"
COIN,162.06,Put,340,2026-06-18T16:30:00-05:00,10,"174.90 x 367","179.80 x 280",177.25,300,mid,5317500,631,288,225.67%,-0.965636753,SLFT,N/A,"15:46:57 ET"
STX,870.025,Call,800,2027-01-15T16:30:00-06:00,221,"264.00 x 4","275.00 x 21",264.92,200,mid,5298400,200,261,89.04%,0.68923197012639,SLAN,N/A,"09:37:45 ET"
GOOGL,365.3601,Call,300,2026-07-17T16:30:00-05:00,39,"66.00 x 5","66.05 x 200",66,800,bid,5280000,1726,13815,38.41%,0.95153687090802,AUTO,N/A,"09:30:01 ET"
PTC,138.18,Call,125,2027-01-15T16:30:00-06:00,221,"22.50 x 9","25.50 x 8",24,2187,mid,5248800,2192,1,38.67%,0.71223132632054,MLET,ToOpen,"10:00:18 ET"
OWL,9.445,Put,11,2026-08-21T16:30:00-05:00,74,"2.05 x 26","2.15 x 310",2.07,25000,mid,5174900,25001,72617,59.98%,-0.6685699185,MLCT,N/A,"15:00:24 ET"
BABA,121.32,Put,125,2026-09-18T16:30:00-05:00,102,"12.70 x 38","13.35 x 222",12.92,4000,mid,5168000,4000,6833,43.55%,-0.5008130729,MLCT,N/A,"11:26:21 ET"
MU,934.28,Put,650,2027-06-17T16:30:00-05:00,374,"139.95 x 249","147.05 x 267",139.95,360,bid,5038100,362,329,89.39%,-0.1878697443,TLFT,SellToOpen,"15:37:00 ET"
NET,250.725,Call,290,2027-01-15T16:30:00-06:00,221,"40.00 x 123","43.15 x 152",41.28,1200,mid,4953600,1206,2686,68.19%,0.51365550541813,MLFT,N/A,"10:56:54 ET"
COIN,160.6633,Call,170,2026-06-18T16:30:00-05:00,10,"4.55 x 1","4.75 x 95",4.5,10990,bid,4945500,11287,13322,77.56%,0.35638232497791,MLFT,N/A,"10:36:08 ET"
MRVL,299.3501,Call,230,2026-07-17T16:30:00-05:00,39,"80.60 x 135","83.10 x 63",82.09,600,mid,4925400,3686,4314,109.09%,0.82330808116744,MFSL,N/A,"10:39:58 ET"
BE,255.2799,Put,240,2026-07-17T16:30:00-05:00,39,"27.55 x 37","27.70 x 1",27.55,1787,bid,4923100,1985,501,108.77%,-0.3592774533,AUTO,SellToOpen,"11:48:55 ET"
GLW,187.065,Put,150,2026-09-18T16:30:00-05:00,102,"12.45 x 19","13.55 x 242",12.72,3870,mid,4922600,5466,1576,80.57%,-0.226788139,MFSL,ToOpen,"10:14:22 ET"
MU,949.72,Put,890,2028-01-21T16:30:00-06:00,592,"320.45 x 120","327.95 x 104",327.95,150,ask,4919200,150,170,87.43%,-0.2599154071,AUTO,N/A,"13:35:59 ET"
ZS,129.315,Put,250,2026-06-18T16:30:00-05:00,10,"119.95 x 289","122.30 x 214",121.1,400,mid,4844000,400,456,203.81%,-0.9647374633,SLFT,N/A,"15:47:48 ET"
FICO,1218.875,Call,1100,2026-08-21T16:30:00-05:00,74,"191.50 x 7","208.00 x 8",189.9,250,bid,4747500,250,277,60.87%,0.70503574438902,TLFT,N/A,"10:48:43 ET"
AMZN,245.54,Put,300,2028-01-21T16:30:00-06:00,592,"72.20 x 166","73.60 x 155",72.45,650,mid,4709200,650,341,36.87%,-0.5700404174,TLFT,ToOpen,"13:05:27 ET"
NET,251.675,Call,400,2028-01-21T16:30:00-06:00,592,"45.50 x 80","49.00 x 33",47,1000,mid,4700000,1000,4,63.28%,0.46242936935204,SLCN,ToOpen,"10:48:47 ET"
AMD,482.4825,Put,300,2028-01-21T16:30:00-06:00,592,"51.10 x 17","58.80 x 6",54.43,847,mid,4610200,1000,902,71.09%,-0.1517004139,MLET,N/A,"09:30:13 ET"
MSFT,411.56,Put,440,2027-01-15T16:30:00-06:00,221,"54.55 x 42","54.95 x 1",54.55,845,bid,4609400,910,3405,33.05%,-0.5371617601,AUTO,N/A,"13:55:32 ET"
CRCL,82.935,Call,110,2027-06-17T16:30:00-05:00,374,"21.55 x 689","22.70 x 6",22.4,2054,mid,4600900,2304,1037,88.19%,0.56916560123441,AUTO,ToOpen,"14:44:45 ET"
GLW,187.065,Call,195,2026-09-18T16:30:00-05:00,102,"27.90 x 265","30.65 x 89",29.82,1530,mid,4562400,3646,497,81.30%,0.55406025483567,MFSL,N/A,"10:14:22 ET"
GLW,187.75,Call,220,2027-01-15T16:30:00-06:00,221,"34.55 x 154","35.60 x 95",35,1300,mid,4550000,2305,777,77.81%,0.52711272568584,TLCT,N/A,"13:08:16 ET"
CVNA,69.21,Call,64,2026-06-18T16:30:00-05:00,10,"6.40 x 229","7.00 x 32",6.5,7000,mid,4550000,7000,7687,79.01%,0.74904743715278,MLFT,N/A,"11:53:29 ET"
BRK.B,486.83,Call,290,2026-06-18T16:30:00-05:00,10,"196.40 x 166","198.90 x 636",197.4,230,mid,4540200,264,860,146.80%,0.9880068833948,MLET,N/A,"13:35:32 ET"
CLS,386.02,Call,450,2026-08-21T16:30:00-05:00,74,"35.00 x 67","39.60 x 46",37.02,1200,mid,4442400,1201,1016,84.94%,0.42459963658578,MLFT,ToOpen,"11:04:48 ET"
TTWO,210.45,Call,200,2026-07-17T16:30:00-05:00,39,"16.80 x 53","18.10 x 32",17.75,2500,mid,4437500,2505,118,40.92%,0.68345732307385,TLCT,ToOpen,"13:00:09 ET"
GOOG,358.8401,Call,360,2026-07-17T16:30:00-05:00,39,"15.10 x 1","15.65 x 56",15.15,2880,mid,4363200,4232,5045,32.22%,0.52274830922008,SLAN,N/A,"10:06:55 ET"
AMD,482.4825,Put,380,2027-01-15T16:30:00-06:00,221,"46.50 x 95","52.00 x 134",49.71,847,mid,4210400,1000,4196,72.13%,-0.2301161894,MLET,N/A,"09:30:13 ET"
PACS,35.29,Call,15,2027-01-15T16:30:00-06:00,221,"20.70 x 500","22.30 x 438",21,2000,mid,4200000,2000,6481,93.35%,0.94210964503616,AUTO,N/A,"12:13:40 ET"
